rank,ticker,name,market_cap_usd,market_cap_h,gics_sector,gics_industry
1,NVDA,Nvidia,5103122549133,5.10T,Information Technology,Semiconductors
2,GOOGL,Alphabet Inc. (Class A),4490912973770,4.49T,Communication Services,Interactive Media & Services
3,GOOG,Alphabet Inc. (Class C),4483957417712,4.48T,Communication Services,Interactive Media & Services
4,AAPL,Apple Inc.,4376979104991,4.38T,Information Technology,"Technology Hardware, Storage & Peripherals"
5,MSFT,Microsoft,2818348081358,2.82T,Information Technology,Systems Software
6,AMZN,Amazon,2628929968498,2.63T,Consumer Discretionary,Broadline Retail
7,AVGO,Broadcom,1957030643485,1.96T,Information Technology,Semiconductors
8,TSLA,"Tesla, Inc.",1504129816419,1.50T,Consumer Discretionary,Automobile Manufacturers
9,META,Meta Platforms,1465228625167,1.47T,Communication Services,Interactive Media & Services
10,MU,Micron Technology,1278839125480,1.28T,Information Technology,Semiconductors
11,BRK-B,Berkshire Hathaway,1055693641049,1.06T,Financials,Multi-Sector Holdings
12,LLY,Lilly (Eli),979640308493,979.64B,Health Care,Pharmaceuticals
13,WMT,Walmart,932527717811,932.53B,Consumer Staples,Consumer Staples Merchandise Retail
14,AMD,Advanced Micro Devices,876235857417,876.24B,Information Technology,Semiconductors
15,JPM,JPMorgan Chase,871430706632,871.43B,Financials,Diversified Banks
16,ASML,ASML Holding,743732780498,743.73B,Information Technology,Semiconductor Materials & Equipment
17,INTC,Intel,673433767608,673.43B,Information Technology,Semiconductors
18,V,Visa Inc.,622326622540,622.33B,Financials,Transaction & Payment Processing Services
19,XOM,ExxonMobil,571215158275,571.22B,Energy,Integrated Oil & Gas
20,JNJ,Johnson & Johnson,549784282537,549.78B,Health Care,Pharmaceuticals
21,ORCL,Oracle Corporation,530026498030,530.03B,Information Technology,Application Software
22,AMAT,Applied Materials,489960292217,489.96B,Information Technology,Semiconductor Materials & Equipment
23,LRCX,Lam Research,486509703245,486.51B,Information Technology,Semiconductor Materials & Equipment
24,CSCO,Cisco,471159103462,471.16B,Information Technology,Communications Equipment
25,ARM,Arm Holdings,467609083084,467.61B,Information Technology,Semiconductors
26,CAT,Caterpillar Inc.,454060792054,454.06B,Industrials,Construction Machinery & Heavy Transportation Equipment
27,MA,Mastercard,432770543890,432.77B,Financials,Transaction & Payment Processing Services
28,COST,Costco,421947913479,421.95B,Consumer Staples,Consumer Staples Merchandise Retail
29,BAC,Bank of America,398828400000,398.83B,Financials,Diversified Banks
30,ABBV,AbbVie,382492987523,382.49B,Health Care,Biotechnology
31,GE,GE Aerospace,373672874522,373.67B,Industrials,Aerospace & Defense
32,UNH,UnitedHealth Group,364129572467,364.13B,Health Care,Managed Health Care
33,MS,Morgan Stanley,352002649721,352.00B,Financials,Investment Banking & Brokerage
34,PG,Procter & Gamble,350174725681,350.17B,Consumer Staples,Personal Care Products
35,CVX,Chevron Corporation,345801123931,345.80B,Energy,Integrated Oil & Gas
36,KO,Coca-Cola Company (The),341574076538,341.57B,Consumer Staples,Soft Drinks & Non-alcoholic Beverages
37,KLAC,KLA Corporation,339056790318,339.06B,Information Technology,Semiconductor Materials & Equipment
38,HD,Home Depot (The),333316163241,333.32B,Consumer Discretionary,Home Improvement Retail
39,NFLX,Netflix,325831578531,325.83B,Communication Services,Movies & Entertainment
40,SNDK,Sandisk,323539098790,323.54B,Information Technology,"Technology Hardware, Storage & Peripherals"
41,GS,Goldman Sachs,323493354857,323.49B,Financials,Investment Banking & Brokerage
42,PLTR,Palantir Technologies,307982672611,307.98B,Information Technology,Application Software
43,GEV,GE Vernova,298206634802,298.21B,Industrials,Heavy Electrical Equipment
44,TXN,Texas Instruments,293832545170,293.83B,Information Technology,Semiconductors
45,MRK,Merck & Co.,281238912919,281.24B,Health Care,Pharmaceuticals
46,PM,Philip Morris International,278046888613,278.05B,Consumer Staples,Tobacco
47,MRVL,Marvell Technology,271695372253,271.70B,Information Technology,Semiconductors
48,DELL,Dell Technologies,264595324266,264.60B,Information Technology,"Technology Hardware, Storage & Peripherals"
49,WDC,Western Digital,257212139884,257.21B,Information Technology,"Technology Hardware, Storage & Peripherals"
50,WFC,Wells Fargo,251547567067,251.55B,Financials,Diversified Banks
51,RTX,RTX Corporation,249944452456,249.94B,Industrials,Aerospace & Defense
52,C,Citigroup,243999835018,244.00B,Financials,Diversified Banks
53,STX,Seagate Technology,242141797687,242.14B,Information Technology,"Technology Hardware, Storage & Peripherals"
54,QCOM,Qualcomm,238319940643,238.32B,Information Technology,Semiconductors
55,LIN,Linde plc,236791186104,236.79B,Materials,Industrial Gases
56,PANW,Palo Alto Networks,234540699005,234.54B,Information Technology,Systems Software
57,IBM,IBM,234125428984,234.13B,Information Technology,IT Consulting & Other Services
58,AXP,American Express,230626337734,230.63B,Financials,Consumer Finance
59,ANET,Arista Networks,213643276239,213.64B,Information Technology,Communications Equipment
60,ADI,Analog Devices,211619831236,211.62B,Information Technology,Semiconductors
61,APH,Amphenol,201709247861,201.71B,Information Technology,Electronic Components
62,MCD,McDonald's,197954026968,197.95B,Consumer Discretionary,Restaurants
63,TMUS,T-Mobile US,196604128955,196.60B,Communication Services,Wireless Telecommunication Services
64,PEP,PepsiCo,194132961831,194.13B,Consumer Staples,Soft Drinks & Non-alcoholic Beverages
65,VZ,Verizon,189445103286,189.45B,Communication Services,Integrated Telecommunication Services
66,AMGN,Amgen,182205516596,182.21B,Health Care,Biotechnology
67,TJX,TJX Companies,180961632602,180.96B,Consumer Discretionary,Apparel Retail
68,NEE,NextEra Energy,180926264806,180.93B,Utilities,Multi-Utilities
69,DIS,Walt Disney Company (The),180406170779,180.41B,Communication Services,Movies & Entertainment
70,BA,Boeing,175570696122,175.57B,Industrials,Aerospace & Defense
71,CRWD,CrowdStrike,174341258896,174.34B,Information Technology,Systems Software
72,TMO,Thermo Fisher Scientific,172659043409,172.66B,Health Care,Life Sciences Tools & Services
73,GLW,Corning Inc.,167755523273,167.76B,Information Technology,Electronic Components
74,ETN,Eaton Corporation,163773286734,163.77B,Industrials,Electrical Components & Equipment
75,BLK,BlackRock,163009654203,163.01B,Financials,Asset Management & Custody Banks
76,SCHW,Charles Schwab Corporation,159478720684,159.48B,Financials,Investment Banking & Brokerage
77,DE,Deere & Company,159057925670,159.06B,Industrials,Agricultural & Farm Machinery
78,APP,AppLovin,157794149538,157.79B,Information Technology,Application Software
79,ABT,Abbott Laboratories,153993707323,153.99B,Health Care,Health Care Equipment
80,GILD,Gilead Sciences,153656690258,153.66B,Health Care,Biotechnology
81,T,AT&T,152932939348,152.93B,Communication Services,Integrated Telecommunication Services
82,UNP,Union Pacific Corporation,152513053054,152.51B,Industrials,Rail Transportation
83,BX,Blackstone Inc.,151303812984,151.30B,Financials,Asset Management & Custody Banks
84,WELL,Welltower,145877216783,145.88B,Real Estate,Health Care REITs
85,UBER,Uber,145830312048,145.83B,Industrials,Passenger Ground Transportation
86,HON,Honeywell,145112897301,145.11B,Industrials,Industrial Conglomerates
87,ISRG,Intuitive Surgical,144066360436,144.07B,Health Care,Health Care Equipment
88,PFE,Pfizer,143682982282,143.68B,Health Care,Pharmaceuticals
89,SHOP,Shopify,141249702318,141.25B,Information Technology,Application Software
